TP conc. (mg/mL),cell line,inhibitor,ligand,readout,raw_val
0.25,SW48 parental,GDC-0973,PBS,EGFR.Y1068.XP,1.056049354
0.25,SW48 parental,GDC-0973,PBS,EGFR.Y1068.XP,1.046205148
0.25,SW48 parental,GDC-0973,PBS,EGFR.Y1068.XP,1.07961764
0.25,SW48 parental,GDC-0973,PBS,EGFR.Y1068.XP,1.040316042
0.5,SW48 parental,GDC-0973,PBS,EGFR.Y1068.XP,0.980871563
0.5,SW48 parental,GDC-0973,PBS,EGFR.Y1068.XP,0.945114677
0.5,SW48 parental,GDC-0973,PBS,EGFR.Y1068.XP,0.992863161
0.5,SW48 parental,GDC-0973,PBS,EGFR.Y1068.XP,0.971792662
0.25,SW48 parental,Erlotinib,PBS,EGFR.Y1068.XP,0.775429435
0.25,SW48 parental,Erlotinib,PBS,EGFR.Y1068.XP,0.775379403
0.25,SW48 parental,Erlotinib,PBS,EGFR.Y1068.XP,0.88429001
0.25,SW48 parental,Erlotinib,PBS,EGFR.Y1068.XP,0.873844774
0.5,SW48 parental,Erlotinib,PBS,EGFR.Y1068.XP,0.730158421
0.5,SW48 parental,Erlotinib,PBS,EGFR.Y1068.XP,0.721727833
0.5,SW48 parental,Erlotinib,PBS,EGFR.Y1068.XP,0.858282226
0.5,SW48 parental,Erlotinib,PBS,EGFR.Y1068.XP,0.798484393
0.25,SW48 parental,GDC-0068,PBS,EGFR.Y1068.XP,1.037575585
0.25,SW48 parental,GDC-0068,PBS,EGFR.Y1068.XP,1.03721465
0.25,SW48 parental,GDC-0068,PBS,EGFR.Y1068.XP,1.006819206
0.25,SW48 parental,GDC-0068,PBS,EGFR.Y1068.XP,0.994090172
0.5,SW48 parental,GDC-0068,PBS,EGFR.Y1068.XP,0.807384223
0.5,SW48 parental,GDC-0068,PBS,EGFR.Y1068.XP,0.982357604
0.5,SW48 parental,GDC-0068,PBS,EGFR.Y1068.XP,1.022959651
0.5,SW48 parental,GDC-0068,PBS,EGFR.Y1068.XP,0.99974861
0.25,SW48 parental,DMSO,PBS,EGFR.Y1068.XP,1.148662073
0.25,SW48 parental,DMSO,PBS,EGFR.Y1068.XP,1.175033213
0.25,SW48 parental,DMSO,PBS,EGFR.Y1068.XP,1.092802849
0.25,SW48 parental,DMSO,PBS,EGFR.Y1068.XP,1.071556562
0.5,SW48 parental,DMSO,PBS,EGFR.Y1068.XP,1.083786119
0.5,SW48 parental,DMSO,PBS,EGFR.Y1068.XP,1.113876526
0.5,SW48 parental,DMSO,PBS,EGFR.Y1068.XP,1.006107473
0.5,SW48 parental,DMSO,PBS,EGFR.Y1068.XP,1.139237658
0.25,SW48 parental,GDC-0973,EGF,EGFR.Y1068.XP,1.992627494
0.25,SW48 parental,GDC-0973,EGF,EGFR.Y1068.XP,2.301215374
0.25,SW48 parental,GDC-0973,EGF,EGFR.Y1068.XP,2.041162139
0.25,SW48 parental,GDC-0973,EGF,EGFR.Y1068.XP,2.151675993
0.5,SW48 parental,GDC-0973,EGF,EGFR.Y1068.XP,2.069472134
0.5,SW48 parental,GDC-0973,EGF,EGFR.Y1068.XP,2.415292236
0.5,SW48 parental,GDC-0973,EGF,EGFR.Y1068.XP,2.195878125
0.5,SW48 parental,GDC-0973,EGF,EGFR.Y1068.XP,2.291191656
0.25,SW48 parental,Erlotinib,EGF,EGFR.Y1068.XP,1.257466138
0.25,SW48 parental,Erlotinib,EGF,EGFR.Y1068.XP,1.201504134
0.25,SW48 parental,Erlotinib,EGF,EGFR.Y1068.XP,1.241583474
0.25,SW48 parental,Erlotinib,EGF,EGFR.Y1068.XP,1.252110412
0.5,SW48 parental,Erlotinib,EGF,EGFR.Y1068.XP,1.264102119
0.5,SW48 parental,Erlotinib,EGF,EGFR.Y1068.XP,1.216245344
0.5,SW48 parental,Erlotinib,EGF,EGFR.Y1068.XP,1.27597601
0.5,SW48 parental,Erlotinib,EGF,EGFR.Y1068.XP,1.166215547
0.25,SW48 parental,GDC-0068,EGF,EGFR.Y1068.XP,2.193564288
0.25,SW48 parental,GDC-0068,EGF,EGFR.Y1068.XP,2.455895721
0.25,SW48 parental,GDC-0068,EGF,EGFR.Y1068.XP,2.209718539
0.25,SW48 parental,GDC-0068,EGF,EGFR.Y1068.XP,2.26367364
0.5,SW48 parental,GDC-0068,EGF,EGFR.Y1068.XP,2.094379022
0.5,SW48 parental,GDC-0068,EGF,EGFR.Y1068.XP,2.232710561
0.5,SW48 parental,GDC-0068,EGF,EGFR.Y1068.XP,2.301005564
0.5,SW48 parental,GDC-0068,EGF,EGFR.Y1068.XP,2.346151815
0.25,SW48 parental,DMSO,EGF,EGFR.Y1068.XP,2.179135606
0.25,SW48 parental,DMSO,EGF,EGFR.Y1068.XP,2.471635726
0.25,SW48 parental,DMSO,EGF,EGFR.Y1068.XP,2.311929517
0.25,SW48 parental,DMSO,EGF,EGFR.Y1068.XP,2.401016501
0.5,SW48 parental,DMSO,EGF,EGFR.Y1068.XP,2.316377609
0.5,SW48 parental,DMSO,EGF,EGFR.Y1068.XP,2.547758377
0.5,SW48 parental,DMSO,EGF,EGFR.Y1068.XP,2.359735768
0.5,SW48 parental,DMSO,EGF,EGFR.Y1068.XP,2.59218947
0.25,SW48 parental,GDC-0973,HGF,EGFR.Y1068.XP,0.894909199
0.25,SW48 parental,GDC-0973,HGF,EGFR.Y1068.XP,0.915901273
0.25,SW48 parental,GDC-0973,HGF,EGFR.Y1068.XP,0.947968972
0.25,SW48 parental,GDC-0973,HGF,EGFR.Y1068.XP,0.975646198
0.5,SW48 parental,GDC-0973,HGF,EGFR.Y1068.XP,0.831847878
0.5,SW48 parental,GDC-0973,HGF,EGFR.Y1068.XP,0.902881104
0.5,SW48 parental,GDC-0973,HGF,EGFR.Y1068.XP,0.855679427
0.5,SW48 parental,GDC-0973,HGF,EGFR.Y1068.XP,0.92637945
0.25,SW48 parental,Erlotinib,HGF,EGFR.Y1068.XP,0.763294186
0.25,SW48 parental,Erlotinib,HGF,EGFR.Y1068.XP,0.788073455
0.25,SW48 parental,Erlotinib,HGF,EGFR.Y1068.XP,0.712149492
0.25,SW48 parental,Erlotinib,HGF,EGFR.Y1068.XP,0.757483382
0.5,SW48 parental,Erlotinib,HGF,EGFR.Y1068.XP,0.708607077
0.5,SW48 parental,Erlotinib,HGF,EGFR.Y1068.XP,0.697918746
0.5,SW48 parental,Erlotinib,HGF,EGFR.Y1068.XP,0.666082855
0.5,SW48 parental,Erlotinib,HGF,EGFR.Y1068.XP,0.715038084
0.25,SW48 parental,GDC-0068,HGF,EGFR.Y1068.XP,0.90254399
0.25,SW48 parental,GDC-0068,HGF,EGFR.Y1068.XP,0.839387078
0.25,SW48 parental,GDC-0068,HGF,EGFR.Y1068.XP,0.90464528
0.25,SW48 parental,GDC-0068,HGF,EGFR.Y1068.XP,0.883873672
0.5,SW48 parental,GDC-0068,HGF,EGFR.Y1068.XP,0.875205566
0.5,SW48 parental,GDC-0068,HGF,EGFR.Y1068.XP,0.827268393
0.5,SW48 parental,GDC-0068,HGF,EGFR.Y1068.XP,0.839548456
0.5,SW48 parental,GDC-0068,HGF,EGFR.Y1068.XP,0.847357172
0.25,SW48 parental,DMSO,HGF,EGFR.Y1068.XP,0.907140256
0.25,SW48 parental,DMSO,HGF,EGFR.Y1068.XP,0.907786572
0.25,SW48 parental,DMSO,HGF,EGFR.Y1068.XP,0.856889283
0.25,SW48 parental,DMSO,HGF,EGFR.Y1068.XP,0.97600816
0.5,SW48 parental,DMSO,HGF,EGFR.Y1068.XP,0.869742575
0.5,SW48 parental,DMSO,HGF,EGFR.Y1068.XP,1.033342812
0.5,SW48 parental,DMSO,HGF,EGFR.Y1068.XP,0.822711998
0.5,SW48 parental,DMSO,HGF,EGFR.Y1068.XP,0.906976945
0.25,SW48 parental,GDC-0973,IGF,EGFR.Y1068.XP,0.862428515
0.25,SW48 parental,GDC-0973,IGF,EGFR.Y1068.XP,0.915841466
0.25,SW48 parental,GDC-0973,IGF,EGFR.Y1068.XP,0.775604892
0.25,SW48 parental,GDC-0973,IGF,EGFR.Y1068.XP,0.816324603
0.5,SW48 parental,GDC-0973,IGF,EGFR.Y1068.XP,0.846015792
0.5,SW48 parental,GDC-0973,IGF,EGFR.Y1068.XP,0.848073684
0.5,SW48 parental,GDC-0973,IGF,EGFR.Y1068.XP,0.806132226
0.5,SW48 parental,GDC-0973,IGF,EGFR.Y1068.XP,0.839229728
0.25,SW48 parental,Erlotinib,IGF,EGFR.Y1068.XP,0.931987524
0.25,SW48 parental,Erlotinib,IGF,EGFR.Y1068.XP,0.786378319
0.25,SW48 parental,Erlotinib,IGF,EGFR.Y1068.XP,0.625725616
0.25,SW48 parental,Erlotinib,IGF,EGFR.Y1068.XP,0.807396044
0.5,SW48 parental,Erlotinib,IGF,EGFR.Y1068.XP,0.784032561
0.5,SW48 parental,Erlotinib,IGF,EGFR.Y1068.XP,0.734417147
0.5,SW48 parental,Erlotinib,IGF,EGFR.Y1068.XP,0.613149353
0.5,SW48 parental,Erlotinib,IGF,EGFR.Y1068.XP,0.756169054
0.25,SW48 parental,GDC-0068,IGF,EGFR.Y1068.XP,0.97676618
0.25,SW48 parental,GDC-0068,IGF,EGFR.Y1068.XP,1.063110258
0.25,SW48 parental,GDC-0068,IGF,EGFR.Y1068.XP,0.808322963
0.25,SW48 parental,GDC-0068,IGF,EGFR.Y1068.XP,1.02692506
0.5,SW48 parental,GDC-0068,IGF,EGFR.Y1068.XP,0.950147237
0.5,SW48 parental,GDC-0068,IGF,EGFR.Y1068.XP,0.947687856
0.5,SW48 parental,GDC-0068,IGF,EGFR.Y1068.XP,0.782090561
0.5,SW48 parental,GDC-0068,IGF,EGFR.Y1068.XP,0.959286517
0.25,SW48 parental,DMSO,IGF,EGFR.Y1068.XP,0.978425135
0.25,SW48 parental,DMSO,IGF,EGFR.Y1068.XP,1.001940691
0.25,SW48 parental,DMSO,IGF,EGFR.Y1068.XP,0.774885697
0.25,SW48 parental,DMSO,IGF,EGFR.Y1068.XP,0.954497987
0.5,SW48 parental,DMSO,IGF,EGFR.Y1068.XP,0.900112327
0.5,SW48 parental,DMSO,IGF,EGFR.Y1068.XP,0.893828829
0.5,SW48 parental,DMSO,IGF,EGFR.Y1068.XP,0.740421944
0.5,SW48 parental,DMSO,IGF,EGFR.Y1068.XP,0.911369468
0.25,SW48 E545K,GDC-0973,PBS,EGFR.Y1068.XP,0.808338246
0.25,SW48 E545K,GDC-0973,PBS,EGFR.Y1068.XP,0.846272787
0.25,SW48 E545K,GDC-0973,PBS,EGFR.Y1068.XP,0.625086982
0.25,SW48 E545K,GDC-0973,PBS,EGFR.Y1068.XP,0.825246526
0.5,SW48 E545K,GDC-0973,PBS,EGFR.Y1068.XP,0.871672413
0.5,SW48 E545K,GDC-0973,PBS,EGFR.Y1068.XP,0.895462135
0.5,SW48 E545K,GDC-0973,PBS,EGFR.Y1068.XP,0.718791281
0.5,SW48 E545K,GDC-0973,PBS,EGFR.Y1068.XP,0.847758818
0.25,SW48 E545K,Erlotinib,PBS,EGFR.Y1068.XP,0.698556044
0.25,SW48 E545K,Erlotinib,PBS,EGFR.Y1068.XP,0.63802406
0.25,SW48 E545K,Erlotinib,PBS,EGFR.Y1068.XP,0.537779183
0.25,SW48 E545K,Erlotinib,PBS,EGFR.Y1068.XP,0.6627715
0.5,SW48 E545K,Erlotinib,PBS,EGFR.Y1068.XP,0.734881506
0.5,SW48 E545K,Erlotinib,PBS,EGFR.Y1068.XP,0.663383187
0.5,SW48 E545K,Erlotinib,PBS,EGFR.Y1068.XP,0.611446909
0.5,SW48 E545K,Erlotinib,PBS,EGFR.Y1068.XP,0.714477445
0.25,SW48 E545K,GDC-0068,PBS,EGFR.Y1068.XP,0.8820867
0.25,SW48 E545K,GDC-0068,PBS,EGFR.Y1068.XP,0.941707623
0.25,SW48 E545K,GDC-0068,PBS,EGFR.Y1068.XP,0.639891072
0.25,SW48 E545K,GDC-0068,PBS,EGFR.Y1068.XP,0.907227909
0.5,SW48 E545K,GDC-0068,PBS,EGFR.Y1068.XP,0.880214797
0.5,SW48 E545K,GDC-0068,PBS,EGFR.Y1068.XP,0.918193296
0.5,SW48 E545K,GDC-0068,PBS,EGFR.Y1068.XP,0.651293916
0.5,SW48 E545K,GDC-0068,PBS,EGFR.Y1068.XP,0.884180854
0.25,SW48 E545K,DMSO,PBS,EGFR.Y1068.XP,0.963818886
0.25,SW48 E545K,DMSO,PBS,EGFR.Y1068.XP,1.000170949
0.25,SW48 E545K,DMSO,PBS,EGFR.Y1068.XP,0.735454927
0.25,SW48 E545K,DMSO,PBS,EGFR.Y1068.XP,1.00565611
0.5,SW48 E545K,DMSO,PBS,EGFR.Y1068.XP,0.923999403
0.5,SW48 E545K,DMSO,PBS,EGFR.Y1068.XP,0.971862047
0.5,SW48 E545K,DMSO,PBS,EGFR.Y1068.XP,0.721242824
0.5,SW48 E545K,DMSO,PBS,EGFR.Y1068.XP,1.026099921
0.25,SW48 E545K,GDC-0973,EGF,EGFR.Y1068.XP,2.743156721
0.25,SW48 E545K,GDC-0973,EGF,EGFR.Y1068.XP,2.962048591
0.25,SW48 E545K,GDC-0973,EGF,EGFR.Y1068.XP,2.325090266
0.25,SW48 E545K,GDC-0973,EGF,EGFR.Y1068.XP,2.977387571
0.5,SW48 E545K,GDC-0973,EGF,EGFR.Y1068.XP,3.165204657
0.5,SW48 E545K,GDC-0973,EGF,EGFR.Y1068.XP,3.17735033
0.5,SW48 E545K,GDC-0973,EGF,EGFR.Y1068.XP,2.733573634
0.5,SW48 E545K,GDC-0973,EGF,EGFR.Y1068.XP,3.210087468
0.25,SW48 E545K,Erlotinib,EGF,EGFR.Y1068.XP,0.974762516
0.25,SW48 E545K,Erlotinib,EGF,EGFR.Y1068.XP,1.022337231
0.25,SW48 E545K,Erlotinib,EGF,EGFR.Y1068.XP,0.821649475
0.25,SW48 E545K,Erlotinib,EGF,EGFR.Y1068.XP,0.923190285
0.5,SW48 E545K,Erlotinib,EGF,EGFR.Y1068.XP,1.085637679
0.5,SW48 E545K,Erlotinib,EGF,EGFR.Y1068.XP,1.095323215
0.5,SW48 E545K,Erlotinib,EGF,EGFR.Y1068.XP,0.827664211
0.5,SW48 E545K,Erlotinib,EGF,EGFR.Y1068.XP,1.066836384
0.25,SW48 E545K,GDC-0068,EGF,EGFR.Y1068.XP,2.104991891
0.25,SW48 E545K,GDC-0068,EGF,EGFR.Y1068.XP,2.312041588
0.25,SW48 E545K,GDC-0068,EGF,EGFR.Y1068.XP,1.641469921
0.25,SW48 E545K,GDC-0068,EGF,EGFR.Y1068.XP,2.096081482
0.5,SW48 E545K,GDC-0068,EGF,EGFR.Y1068.XP,2.348810358
0.5,SW48 E545K,GDC-0068,EGF,EGFR.Y1068.XP,2.528413568
0.5,SW48 E545K,GDC-0068,EGF,EGFR.Y1068.XP,1.788399381
0.5,SW48 E545K,GDC-0068,EGF,EGFR.Y1068.XP,2.200482173
0.25,SW48 E545K,DMSO,EGF,EGFR.Y1068.XP,2.109898856
0.25,SW48 E545K,DMSO,EGF,EGFR.Y1068.XP,2.156048048
0.25,SW48 E545K,DMSO,EGF,EGFR.Y1068.XP,1.691779916
0.25,SW48 E545K,DMSO,EGF,EGFR.Y1068.XP,2.225493443
0.5,SW48 E545K,DMSO,EGF,EGFR.Y1068.XP,2.286893481
0.5,SW48 E545K,DMSO,EGF,EGFR.Y1068.XP,2.409386755
0.5,SW48 E545K,DMSO,EGF,EGFR.Y1068.XP,1.973938297
0.5,SW48 E545K,DMSO,EGF,EGFR.Y1068.XP,2.458150962
0.25,SW48 E545K,GDC-0973,HGF,EGFR.Y1068.XP,0.923275365
0.25,SW48 E545K,GDC-0973,HGF,EGFR.Y1068.XP,0.906489293
0.25,SW48 E545K,GDC-0973,HGF,EGFR.Y1068.XP,0.73736884
0.25,SW48 E545K,GDC-0973,HGF,EGFR.Y1068.XP,0.970546448
0.5,SW48 E545K,GDC-0973,HGF,EGFR.Y1068.XP,0.956993328
0.5,SW48 E545K,GDC-0973,HGF,EGFR.Y1068.XP,0.925355862
0.5,SW48 E545K,GDC-0973,HGF,EGFR.Y1068.XP,0.706661681
0.5,SW48 E545K,GDC-0973,HGF,EGFR.Y1068.XP,0.908175679
0.25,SW48 E545K,Erlotinib,HGF,EGFR.Y1068.XP,0.756832907
0.25,SW48 E545K,Erlotinib,HGF,EGFR.Y1068.XP,0.660464468
0.25,SW48 E545K,Erlotinib,HGF,EGFR.Y1068.XP,0.659146792
0.25,SW48 E545K,Erlotinib,HGF,EGFR.Y1068.XP,0.772213745
0.5,SW48 E545K,Erlotinib,HGF,EGFR.Y1068.XP,0.835346452
0.5,SW48 E545K,Erlotinib,HGF,EGFR.Y1068.XP,0.70660433
0.5,SW48 E545K,Erlotinib,HGF,EGFR.Y1068.XP,0.624909509
0.5,SW48 E545K,Erlotinib,HGF,EGFR.Y1068.XP,0.74374684
0.25,SW48 E545K,GDC-0068,HGF,EGFR.Y1068.XP,0.956824125
0.25,SW48 E545K,GDC-0068,HGF,EGFR.Y1068.XP,0.925542751
0.25,SW48 E545K,GDC-0068,HGF,EGFR.Y1068.XP,0.969612949
0.25,SW48 E545K,GDC-0068,HGF,EGFR.Y1068.XP,0.7677254
0.5,SW48 E545K,GDC-0068,HGF,EGFR.Y1068.XP,1.023522221
0.5,SW48 E545K,GDC-0068,HGF,EGFR.Y1068.XP,0.890187373
0.5,SW48 E545K,GDC-0068,HGF,EGFR.Y1068.XP,0.978775436
0.5,SW48 E545K,GDC-0068,HGF,EGFR.Y1068.XP,0.650801014
0.25,SW48 E545K,DMSO,HGF,EGFR.Y1068.XP,0.882375462
0.25,SW48 E545K,DMSO,HGF,EGFR.Y1068.XP,0.835242946
0.25,SW48 E545K,DMSO,HGF,EGFR.Y1068.XP,0.900907531
0.25,SW48 E545K,DMSO,HGF,EGFR.Y1068.XP,0.765483546
0.5,SW48 E545K,DMSO,HGF,EGFR.Y1068.XP,0.875738707
0.5,SW48 E545K,DMSO,HGF,EGFR.Y1068.XP,0.913124028
0.5,SW48 E545K,DMSO,HGF,EGFR.Y1068.XP,0.91324005
0.5,SW48 E545K,DMSO,HGF,EGFR.Y1068.XP,0.730954291
0.25,SW48 E545K,GDC-0973,IGF,EGFR.Y1068.XP,0.941455621
0.25,SW48 E545K,GDC-0973,IGF,EGFR.Y1068.XP,0.855243399
0.25,SW48 E545K,GDC-0973,IGF,EGFR.Y1068.XP,0.994107717
0.25,SW48 E545K,GDC-0973,IGF,EGFR.Y1068.XP,0.939779891
0.5,SW48 E545K,GDC-0973,IGF,EGFR.Y1068.XP,0.993863275
0.5,SW48 E545K,GDC-0973,IGF,EGFR.Y1068.XP,0.848443565
0.5,SW48 E545K,GDC-0973,IGF,EGFR.Y1068.XP,0.974685107
0.5,SW48 E545K,GDC-0973,IGF,EGFR.Y1068.XP,0.990821754
0.25,SW48 E545K,Erlotinib,IGF,EGFR.Y1068.XP,0.690858198
0.25,SW48 E545K,Erlotinib,IGF,EGFR.Y1068.XP,0.77684421
0.25,SW48 E545K,Erlotinib,IGF,EGFR.Y1068.XP,0.801082086
0.25,SW48 E545K,Erlotinib,IGF,EGFR.Y1068.XP,0.634198752
0.5,SW48 E545K,Erlotinib,IGF,EGFR.Y1068.XP,0.765477175
0.5,SW48 E545K,Erlotinib,IGF,EGFR.Y1068.XP,0.653560877
0.5,SW48 E545K,Erlotinib,IGF,EGFR.Y1068.XP,0.807158056
0.5,SW48 E545K,Erlotinib,IGF,EGFR.Y1068.XP,0.582308738
0.25,SW48 E545K,GDC-0068,IGF,EGFR.Y1068.XP,0.925731466
0.25,SW48 E545K,GDC-0068,IGF,EGFR.Y1068.XP,0.986746862
0.25,SW48 E545K,GDC-0068,IGF,EGFR.Y1068.XP,0.960386096
0.25,SW48 E545K,GDC-0068,IGF,EGFR.Y1068.XP,0.870145984
0.5,SW48 E545K,GDC-0068,IGF,EGFR.Y1068.XP,0.914414887
0.5,SW48 E545K,GDC-0068,IGF,EGFR.Y1068.XP,0.941618377
0.5,SW48 E545K,GDC-0068,IGF,EGFR.Y1068.XP,0.967457395
0.5,SW48 E545K,GDC-0068,IGF,EGFR.Y1068.XP,0.892312788
0.25,SW48 E545K,DMSO,IGF,EGFR.Y1068.XP,0.887982684
0.25,SW48 E545K,DMSO,IGF,EGFR.Y1068.XP,0.977306659
0.25,SW48 E545K,DMSO,IGF,EGFR.Y1068.XP,0.980913743
0.25,SW48 E545K,DMSO,IGF,EGFR.Y1068.XP,0.822854973
0.5,SW48 E545K,DMSO,IGF,EGFR.Y1068.XP,0.93228694
0.5,SW48 E545K,DMSO,IGF,EGFR.Y1068.XP,0.953229591
0.5,SW48 E545K,DMSO,IGF,EGFR.Y1068.XP,0.932122137
0.5,SW48 E545K,DMSO,IGF,EGFR.Y1068.XP,0.935428615
0.25,SW48 H1047R,GDC-0973,PBS,EGFR.Y1068.XP,1.295086672
0.25,SW48 H1047R,GDC-0973,PBS,EGFR.Y1068.XP,1.255430335
0.25,SW48 H1047R,GDC-0973,PBS,EGFR.Y1068.XP,1.178506819
0.25,SW48 H1047R,GDC-0973,PBS,EGFR.Y1068.XP,1.032907878
0.5,SW48 H1047R,GDC-0973,PBS,EGFR.Y1068.XP,1.240266404
0.5,SW48 H1047R,GDC-0973,PBS,EGFR.Y1068.XP,1.22074532
0.5,SW48 H1047R,GDC-0973,PBS,EGFR.Y1068.XP,1.135777261
0.5,SW48 H1047R,GDC-0973,PBS,EGFR.Y1068.XP,1.016652064
0.25,SW48 H1047R,Erlotinib,PBS,EGFR.Y1068.XP,0.875628425
0.25,SW48 H1047R,Erlotinib,PBS,EGFR.Y1068.XP,0.941800083
0.25,SW48 H1047R,Erlotinib,PBS,EGFR.Y1068.XP,1.005250424
0.25,SW48 H1047R,Erlotinib,PBS,EGFR.Y1068.XP,0.782846014
0.5,SW48 H1047R,Erlotinib,PBS,EGFR.Y1068.XP,0.92386504
0.5,SW48 H1047R,Erlotinib,PBS,EGFR.Y1068.XP,0.904168822
0.5,SW48 H1047R,Erlotinib,PBS,EGFR.Y1068.XP,0.903046073
0.5,SW48 H1047R,Erlotinib,PBS,EGFR.Y1068.XP,0.728486676
0.25,SW48 H1047R,GDC-0068,PBS,EGFR.Y1068.XP,1.078728309
0.25,SW48 H1047R,GDC-0068,PBS,EGFR.Y1068.XP,1.078279897
0.25,SW48 H1047R,GDC-0068,PBS,EGFR.Y1068.XP,1.211580595
0.25,SW48 H1047R,GDC-0068,PBS,EGFR.Y1068.XP,1.244058222
0.5,SW48 H1047R,GDC-0068,PBS,EGFR.Y1068.XP,1.054731598
0.5,SW48 H1047R,GDC-0068,PBS,EGFR.Y1068.XP,1.029142448
0.5,SW48 H1047R,GDC-0068,PBS,EGFR.Y1068.XP,1.09187854
0.5,SW48 H1047R,GDC-0068,PBS,EGFR.Y1068.XP,1.17876578
0.25,SW48 H1047R,DMSO,PBS,EGFR.Y1068.XP,0.982658677
0.25,SW48 H1047R,DMSO,PBS,EGFR.Y1068.XP,0.978183107
0.25,SW48 H1047R,DMSO,PBS,EGFR.Y1068.XP,1.018841434
0.25,SW48 H1047R,DMSO,PBS,EGFR.Y1068.XP,1.244926943
0.5,SW48 H1047R,DMSO,PBS,EGFR.Y1068.XP,0.96077786
0.5,SW48 H1047R,DMSO,PBS,EGFR.Y1068.XP,0.979382713
0.5,SW48 H1047R,DMSO,PBS,EGFR.Y1068.XP,0.998256576
0.5,SW48 H1047R,DMSO,PBS,EGFR.Y1068.XP,1.07633316
0.25,SW48 H1047R,GDC-0973,EGF,EGFR.Y1068.XP,4.772351675
0.25,SW48 H1047R,GDC-0973,EGF,EGFR.Y1068.XP,4.493820433
0.25,SW48 H1047R,GDC-0973,EGF,EGFR.Y1068.XP,4.340914764
0.25,SW48 H1047R,GDC-0973,EGF,EGFR.Y1068.XP,5.357720941
0.5,SW48 H1047R,GDC-0973,EGF,EGFR.Y1068.XP,5.933670258
0.5,SW48 H1047R,GDC-0973,EGF,EGFR.Y1068.XP,5.328893873
0.5,SW48 H1047R,GDC-0973,EGF,EGFR.Y1068.XP,4.975504025
0.5,SW48 H1047R,GDC-0973,EGF,EGFR.Y1068.XP,6.239161268
0.25,SW48 H1047R,Erlotinib,EGF,EGFR.Y1068.XP,1.295830047
0.25,SW48 H1047R,Erlotinib,EGF,EGFR.Y1068.XP,1.326351629
0.25,SW48 H1047R,Erlotinib,EGF,EGFR.Y1068.XP,1.263773047
0.25,SW48 H1047R,Erlotinib,EGF,EGFR.Y1068.XP,1.266844983
0.5,SW48 H1047R,Erlotinib,EGF,EGFR.Y1068.XP,1.320825964
0.5,SW48 H1047R,Erlotinib,EGF,EGFR.Y1068.XP,1.259814553
0.5,SW48 H1047R,Erlotinib,EGF,EGFR.Y1068.XP,1.301593044
0.5,SW48 H1047R,Erlotinib,EGF,EGFR.Y1068.XP,1.310544374
0.25,SW48 H1047R,GDC-0068,EGF,EGFR.Y1068.XP,4.098375393
0.25,SW48 H1047R,GDC-0068,EGF,EGFR.Y1068.XP,4.022056687
0.25,SW48 H1047R,GDC-0068,EGF,EGFR.Y1068.XP,3.902066162
0.25,SW48 H1047R,GDC-0068,EGF,EGFR.Y1068.XP,3.845375892
0.5,SW48 H1047R,GDC-0068,EGF,EGFR.Y1068.XP,4.740400578
0.5,SW48 H1047R,GDC-0068,EGF,EGFR.Y1068.XP,4.68788228
0.5,SW48 H1047R,GDC-0068,EGF,EGFR.Y1068.XP,4.464875884
0.5,SW48 H1047R,GDC-0068,EGF,EGFR.Y1068.XP,4.455793074
0.25,SW48 H1047R,DMSO,EGF,EGFR.Y1068.XP,3.062660872
0.25,SW48 H1047R,DMSO,EGF,EGFR.Y1068.XP,3.042391835
0.25,SW48 H1047R,DMSO,EGF,EGFR.Y1068.XP,3.167664579
0.25,SW48 H1047R,DMSO,EGF,EGFR.Y1068.XP,2.964591107
0.5,SW48 H1047R,DMSO,EGF,EGFR.Y1068.XP,3.433758584
0.5,SW48 H1047R,DMSO,EGF,EGFR.Y1068.XP,3.384722445
0.5,SW48 H1047R,DMSO,EGF,EGFR.Y1068.XP,3.376342873
0.5,SW48 H1047R,DMSO,EGF,EGFR.Y1068.XP,3.190604769
0.25,SW48 H1047R,GDC-0973,HGF,EGFR.Y1068.XP,1.268735218
0.25,SW48 H1047R,GDC-0973,HGF,EGFR.Y1068.XP,1.295075434
0.25,SW48 H1047R,GDC-0973,HGF,EGFR.Y1068.XP,1.401202757
0.25,SW48 H1047R,GDC-0973,HGF,EGFR.Y1068.XP,1.20668443
0.5,SW48 H1047R,GDC-0973,HGF,EGFR.Y1068.XP,1.072386275
0.5,SW48 H1047R,GDC-0973,HGF,EGFR.Y1068.XP,1.119798816
0.5,SW48 H1047R,GDC-0973,HGF,EGFR.Y1068.XP,1.194057357
0.5,SW48 H1047R,GDC-0973,HGF,EGFR.Y1068.XP,1.31816399
0.25,SW48 H1047R,Erlotinib,HGF,EGFR.Y1068.XP,0.765650482
0.25,SW48 H1047R,Erlotinib,HGF,EGFR.Y1068.XP,0.874109181
0.25,SW48 H1047R,Erlotinib,HGF,EGFR.Y1068.XP,1.078220754
0.25,SW48 H1047R,Erlotinib,HGF,EGFR.Y1068.XP,0.996029163
0.5,SW48 H1047R,Erlotinib,HGF,EGFR.Y1068.XP,0.828206865
0.5,SW48 H1047R,Erlotinib,HGF,EGFR.Y1068.XP,0.837691549
0.5,SW48 H1047R,Erlotinib,HGF,EGFR.Y1068.XP,0.948241103
0.5,SW48 H1047R,Erlotinib,HGF,EGFR.Y1068.XP,0.961723459
0.25,SW48 H1047R,GDC-0068,HGF,EGFR.Y1068.XP,1.237069167
