,SCORE,AUPR_PVAL,AUPR_SCORE,AUROC_PVAL,AUROC_SCORE,Net1_AUPR,Net2_AUPR,Net3_AUPR,Net4_AUPR,Net5_AUPR,Net1_AUROC,Net2_AUROC,Net3_AUROC,Net4_AUROC,Net5_AUROC,N,confidence_thresh
0,4.93926361163,8.06285041233e-06,5.09351139746,1.64052999081e-05,4.78501582579,0.927531157817,0.494190251929,0.535144918826,0.83469325134,,0.96875,0.731692307692,0.638368983957,0.921777777778,,10.0,0.23
1,5.00405861721,6.3270907208e-06,5.19879593838,1.55123896096e-05,4.80932129604,0.688855455815,0.535144918826,0.858829982324,0.483314527918,,0.919447640967,0.638368983957,0.925333333333,0.728615384615,,10.0,0.11
2,4.97695977105,6.85171206872e-06,5.16420089579,1.62286111253e-05,4.78971864631,0.845615719554,0.483314527918,0.927531157817,0.688855455815,,0.921777777778,0.728615384615,0.96875,0.919447640967,,10.0,0.08
3,4.97695977105,6.85171206872e-06,5.16420089579,1.62286111253e-05,4.78971864631,0.535144918826,0.483314527918,0.927531157817,0.688855455815,,0.638368983957,0.728615384615,0.96875,0.919447640967,,10.0,0.02
4,4.97695977105,6.85171206872e-06,5.16420089579,1.62286111253e-05,4.78971864631,0.688855455815,0.845615719554,0.535144918826,0.483314527918,,0.919447640967,0.921777777778,0.638368983957,0.728615384615,,10.0,0.05
5,4.99657939227,6.37227779887e-06,5.19570529943,1.59421361904e-05,4.7974534851,0.688855455815,0.858829982324,0.539369373175,0.477185146652,,0.919447640967,0.925333333333,0.639037433155,0.724923076923,,10.0,0.0
6,4.96208630846,7.40992993198e-06,5.13018589867,1.6069903978e-05,4.79398671826,0.843953745569,0.483314527918,0.927531157817,0.672178176708,,0.923555555556,0.728615384615,0.96875,0.91829689298,,10.0,0.16
7,4.93926361163,8.06285041233e-06,5.09351139746,1.64052999081e-05,4.78501582579,0.535144918826,0.83469325134,0.64978252074,0.927531157817,,0.638368983957,0.921777777778,0.915995397008,0.96875,,10.0,0.24
8,4.96171086563,7.40541773846e-06,5.13045043797,1.61075210181e-05,4.79297129329,0.840377240937,0.491368733339,0.927531157817,0.666254615595,,0.922666666667,0.731076923077,0.96875,0.917146144994,,10.0,0.18
9,4.97968773067,6.92027696671e-06,5.15987652365,1.58672280019e-05,4.79949893768,0.688855455815,0.535144918826,0.843953745569,0.483314527918,,0.919447640967,0.638368983957,0.923555555556,0.728615384615,,10.0,0.12
10,4.97695977105,6.85171206872e-06,5.16420089579,1.62286111253e-05,4.78971864631,0.688855455815,0.845615719554,0.535144918826,0.483314527918,,0.919447640967,0.921777777778,0.638368983957,0.728615384615,,10.0,0.01
